chapter,second_edition_figure,decision,target_number,proposed_title,width_cm,source_or_capture,placement_anchor,reason,owner
1,图1.2.1 对云计算的理解如同盲人摸象,删除,,,12.0,第二版内嵌图片仅作历史清点,删除且不设放置锚点,比喻已由连续正文完整解释且原图来源不清,Task3文字收口
1,,重拍,图1.1,1969年的IBM System/360计算机房,13.5,Wikimedia Commons公有领域历史照片,字符终端—主机模式的设备形态如图1.1所示,用时代硬件呈现集中计算和专业运维背景,本任务真实图片与插入
1,,重拍,图1.2,20世纪80年代的学校计算机实验室,13.5,Wikimedia Commons与美国国会图书馆公有领域历史照片,个人计算机和局域网逐步进入教学与办公场所,用时代场景说明客户机本地计算能力和联网需求,本任务真实图片与插入
1,,重绘,图1.3,计算模式演变与资源服务化,13.5,第二版知识主线与本章连续正文,计算模式并不是突然跳到云计算,把主机到云计算的因果链可视化而不添加动态数据,本任务真实绘图与插入
1,图1.2.2 Amazon超大规模的数据中心,重拍,图1.4,数据中心服务器机架,14.0,Wikimedia Commons授权数据中心实景照片,数据中心把服务器网络与存储设备集中在受控空间中,用真实机架说明云平台的物理承载基础,本任务真实图片与插入
1,,重绘,图1.5,云计算环境的组成,13.5,NIST五项基本特征与通用云环境组成,理解云计算不能只看位于机房中的服务器,把用户入口管理服务资源池与基础设施串联起来,本任务真实绘图与插入
1,,重拍,图1.6,数据中心设备维护现场,14.0,Wikimedia Commons授权运维实景照片,云平台的持续运行离不开现场巡检与设备维护,连接物理设施维护与云平台持续运营,本任务真实图片与插入
1,图1.3.1 云计算的3层体系架构,重绘,图1.7,云服务层次与责任边界,13.5,NIST服务模型与第二版三层体系架构,服务层次回答的是使用者获得什么,保留三层知识主线并改为责任边界表达,本任务真实绘图与插入
1,图1.4.1 2013-2020年中国云计算市场规模统计情况及预测,重绘,图1.8,2024年我国云计算市场结构,13.5,中国信通院2024年实绩与官方研究底稿,中国云计算产业已经形成公有云与私有云共同增长的市场结构,删除过时预测并呈现核定实绩与统计关系,本任务真实绘图与插入
1,,重绘,图1.9,云计算技术与治理趋势,14.0,官方研究底稿中七类趋势的限定性结论,进入云计算规模化应用阶段以后,串联云原生边缘云AI云FinOps绿色主权与可信约束,本任务真实绘图与插入
2,图2.1.1 VMware VSphere的物理结构,删除,,,12.0,第二版内嵌图片仅作历史清点,删除且不设放置锚点,旧产品结构不再承担本章代表路线比较任务,Task3文字收口
2,图2.1.2 VMware VSphere系统架构的三个层次,删除,,,12.0,第二版内嵌图片仅作历史清点,删除且不设放置锚点,旧版本架构会把产品比较误导为单一厂商培训,Task3文字收口
2,图2.1.3 VMware View的系统结构,删除,,,12.0,第二版内嵌图片仅作历史清点,删除且不设放置锚点,桌面产品结构偏离本章六维云产品比较主线,Task3文字收口
2,图2.4.2 ECS易捷行云企业云核心特性,删除,,,12.0,第二版内嵌图片仅作历史清点,删除且不设放置锚点,宣传式特性图缺少当前官方边界且不作动态产品结论,Task3文字收口
2,图2.4.3 云就绪超融合向私有云的进化过程,删除,,,12.0,第二版内嵌图片仅作历史清点,删除且不设放置锚点,特定产品路线已由通用部署形态讲解替代,Task3文字收口
2,图2.5.1 亚马逊国内公有云平台首页,删除,,,12.0,第二版旧网页图片,删除且不设放置锚点,首页时效短且本章明确不进行界面漫游,Task3文字收口
2,图2.5.2 Windows Azure国内公有云平台首页,删除,,,12.0,第二版旧网页图片,删除且不设放置锚点,品牌与页面均已变化且不支撑稳定知识,Task3文字收口
2,图2.5.5 阿里云首页,删除,,,12.0,第二版旧网页图片,删除且不设放置锚点,首页时效短且不用于能力或优劣判断,Task3文字收口
2,图2.5.6 华为云首页,删除,,,12.0,第二版旧网页图片,删除且不设放置锚点,首页时效短且不用于能力或优劣判断,Task3文字收口
2,,重绘,图2.1,VMware Cloud Foundation私有云逻辑架构,14.0,VMware Cloud Foundation官方架构资料,VMware路线的重点不是某一个孤立产品,解释vSphere vSAN NSX与运营自动化的协作,本任务真实绘图与插入
2,,重拍,图2.2,VMware Cloud Foundation Operations界面,14.0,VMware官方博客产品界面,VMware Cloud Foundation Operations把基础设施状态集中到统一界面,以真实界面说明统一运营与容量分析,本任务官方截图与插入
2,,重绘,图2.3,Citrix DaaS应用与桌面交付架构,14.0,Citrix DaaS官方参考架构,Citrix的核心问题不是怎样拥有更多服务器,解释控制平面资源位置Cloud Connector VDA与用户访问链,本任务真实绘图与插入
2,,重拍,图2.4,Citrix DaaS控制台,14.0,Citrix官方文档产品界面,Citrix DaaS控制台把资源位置会话和交付状态放在同一管理入口中,以真实界面说明目录会话与状态管理,本任务官方截图与插入
2,,重绘,图2.5,Hyper-V与Azure Local混合基础设施架构,14.0,Microsoft Learn官方架构资料,Hyper-V把虚拟化能力直接纳入Windows Server,解释虚拟化集群存储网络本地管理与Azure Arc管理关系,本任务真实绘图与插入
2,,重拍,图2.6,Windows Admin Center连接界面,14.0,Microsoft Learn官方文档产品界面,Windows Admin Center提供服务器和集群的图形化管理入口,以真实界面说明多类Windows基础设施的统一入口,本任务官方截图与插入
2,,重绘,图2.7,国内私有云通用技术架构,14.0,国内私有云官方产品资料的稳定共性,国内私有云建设首先需要理解共同的技术底座,抽象资源平台管理运维与服务能力而不作厂商排名,本任务真实绘图与插入
2,,重拍,图2.8,华为云Stack ManageOne维护门户,14.0,华为官方文档产品界面,华为云Stack通过ManageOne汇聚资源状态告警和运维任务,以真实界面说明统一管理和告警关联,本任务官方截图与插入
2,,重拍,图2.9,ZStack Cloud资源仪表盘,14.0,ZStack官方文档产品界面,ZStack Cloud以仪表盘集中呈现资源容量和运行状态,以真实界面说明轻量云管理的资源模型,本任务官方截图与插入
2,,重绘,图2.10,国产信创云生态架构,14.0,国产软硬件生态适配关系,信创化不是简单替换某一个品牌,解释芯片操作系统云平台数据库中间件与应用适配链,本任务真实绘图与插入
2,,重绘,图2.11,国内外公有云稳定能力层次,14.0,国内外主流公有云官方架构概念,理解公有云首先要把稳定能力与具体产品名称区分开,解释地域可用区资源池服务目录与治理层次,本任务真实绘图与插入
2,,重拍,图2.12,AWS EC2 Spot实例价格历史界面,14.0,AWS官方用户指南产品界面,AWS控制台能够按实例类型可用区和时间范围呈现资源价格变化,以真实界面说明实例条件与计量成本关系,本任务官方截图与插入
2,,重拍,图2.13,阿里云ECS实例监控界面,14.0,阿里云官方文档产品界面,阿里云ECS控制台把实例详情和运行指标关联起来,以真实界面说明实例资源与监控数据关系,本任务官方截图与插入
2,,重绘,图2.14,云产品比较与选择框架,13.5,本章五类产品路线的稳定比较维度,比较云产品不能只问功能是否齐全,用需求能力生态成本锁定与运维形成选择闭环,本任务真实绘图与插入
2,,重拍,图2.15,阿里云ECS官方价格计算器（中国站）,14.0,阿里云ECS中国站官方价格页面,阿里云ECS中国站价格页面能够按地域、用户类型、网络、操作系统和I/O方式筛选实例,选取中国内地华东1展示实例规格及按量和周期价格,本任务真实截图与插入
3,图3.1.1 OpenStack项目的LOGO,删除,,,10.0,第二版内嵌图片仅作历史清点,删除且不设放置锚点,品牌图不承担架构教学且旧素材授权链未冻结,Task3文字收口
3,图3.2.1云平台Web界面,重绘,图3.8,Antelope实验环境Horizon登录与项目概览,14.0,Horizon官方文档页面结构与本章对象关系,图3.8由Antelope实验环境的Horizon登录界面与项目概览组成,实验网浏览器截图受限时采用明确标识的界面示意图且不冒充真实截图,本任务界面示意与插入
3,图3.2.2 实例界面,重绘,图3.9,Horizon资源页面与OpenStack服务关系,14.0,Horizon官方文档页面结构与本章资源对象讲解,图3.9把实例镜像网络和卷页面与Nova Glance Neutron和Cinder建立对应,用界面示意解释页面对象与服务职责且不展开操作步骤,本任务界面示意与插入
3,图3.3.3 创建winserver2012实例,删除,,,12.0,第二版旧Horizon与Windows Server 2012画面,删除且不设放置锚点,删除逐页界面操作并由资源关系讲解替代,Task3文字收口
3,图3.3.4 实例创建成功,删除,,,12.0,第二版旧Horizon画面,删除且不设放置锚点,不保留重复的过程结果画面,Task3文字收口
3,图3.3.5 进入winserver2012实例控制台,删除,,,12.0,第二版旧Horizon与Windows Server 2012画面,删除且不设放置锚点,旧来宾系统控制台流程不进入概论章,Task3文字收口
3,图3.3.6 winserver2012控制台界面,删除,,,12.0,第二版旧Windows Server 2012画面,删除且不设放置锚点,旧来宾系统界面不支撑OpenStack架构原理,Task3文字收口
3,图3.3.7 关闭系统防火墙,删除,,,12.0,第二版旧Windows Server 2012画面,删除且不设放置锚点,关闭安全控制的旧做法不进入新版教材,Task3文字收口
3,图3.3.8Internet安全级别,删除,,,12.0,第二版旧Windows界面,删除且不设放置锚点,浏览器安全设置与本章学习目标无关,Task3文字收口
3,图3.3.9 启用文件下载,删除,,,12.0,第二版旧Windows界面,删除且不设放置锚点,浏览器下载设置与本章学习目标无关,Task3文字收口
3,图3.3.10所示，打开系统远程桌面,删除,,,12.0,第二版旧Windows界面,删除且不设放置锚点,远程桌面设置不属于OpenStack概论活动,Task3文字收口
3,图3.3.11 本地windows的远程桌面连接,删除,,,12.0,第二版旧Windows界面,删除且不设放置锚点,远程桌面客户端操作不属于本章主线,Task3文字收口
3,图3.3.12Windows安全认证界面,删除,,,12.0,第二版旧Windows界面,删除且不设放置锚点,旧操作系统安全界面不再适用,Task3文字收口
3,图3.3.13 证书错误,删除,,,12.0,第二版旧Windows界面,删除且不设放置锚点,证书错误案例偏离本章组件与版本边界,Task3文字收口
3,图3.3.14 本地成功连接云平台中的虚拟机,删除,,,12.0,第二版旧Windows界面,删除且不设放置锚点,重复过程画面由新版实例关系图替代,Task3文字收口
3,图3.3.15 创建云硬盘界面,删除,,,12.0,第二版旧Horizon画面,删除且不设放置锚点,概论章只讲卷对象与Cinder职责不展开旧界面流程,Task3文字收口
3,图3.3.16 连接winserver实例,删除,,,12.0,第二版旧Horizon与Windows Server 2012画面,删除且不设放置锚点,旧系统挂卷过程留待新版运维章真实素材,Task3文字收口
3,图3.3.17 界面显示连接实例成功,删除,,,12.0,第二版旧Horizon画面,删除且不设放置锚点,重复结果画面不承担概念教学,Task3文字收口
3,图3.3.18 在winserver中可以看到挂载的云硬盘,删除,,,12.0,第二版旧Windows Server 2012画面,删除且不设放置锚点,旧来宾系统磁盘界面留待镜像或运维章节重拍,Task3文字收口
3,图3.3.19 磁盘联机并初始化操作,删除,,,12.0,第二版旧Windows Server 2012画面,删除且不设放置锚点,操作系统磁盘管理过程不属于本章,Task3文字收口
3,图3.3.20 磁盘初始化为MBR形式,删除,,,12.0,第二版旧Windows Server 2012画面,删除且不设放置锚点,特定分区形式教学已过时且偏离本章,Task3文字收口
3,图3.3.21 创建简单卷,删除,,,12.0,第二版旧Windows Server 2012画面,删除且不设放置锚点,来宾系统卷创建不属于OpenStack组件概论,Task3文字收口
3,图3.3.22 已经挂载的云硬盘,删除,,,12.0,第二版旧Windows Server 2012画面,删除且不设放置锚点,旧过程终态由Cinder职责正文概括,Task3文字收口
3,,重绘,图3.1,OpenStack发展与开放基础设施演进,14.0,OpenStack官方组织与治理资料,图3.1把2010年的项目起源至2025年的组织演进排列在时间线上,并列组织治理变化与服务能力扩展两条线索,本任务真实绘图与插入
