level,title,start_paragraph,end_paragraph,nonempty_paragraphs,characters,disposition,reason
1,第一章 云计算基本概念,3,5,3,247,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,1.1  计算模式的演变,6,19,14,1981,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,1.2  云计算的定义,20,56,35,4499,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,1.3  云计算的层次以及分类,57,122,65,7502,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,1.4  国内外云计算产业现状,123,138,14,3198,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
1,第二章 云计算知名厂商及其产品,139,141,3,161,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,2.1  VMware的云计算技术及其相关产品,142,189,45,5397,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,2.2  Citrix的云计算技术,190,210,21,4150,rewrite,替换过时来宾系统与产品界面，主用openEuler SP3/CirrOS。
2,2.3  微软私有云虚拟化产品Hyper-V,211,217,7,1281,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,2.4  国内私有云相关产品,218,275,55,4012,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,2.5 知名公有云平台简介,276,374,91,7721,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
1,第三章 原生OpenStack云平台,375,377,3,140,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,3.1  OpenStack技术简介,378,398,20,2949,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,3.2  体验原生OpenStack云平台,399,470,49,1935,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
1,第四章 原生OpenStack云平台的环境准备,471,473,3,198,rewrite,替换过时来宾系统与产品界面，主用openEuler SP3/CirrOS。
2,4.1  原生OpenStack云平台的逻辑架构及其实现,474,646,117,7060,rewrite,替换过时来宾系统与产品界面，主用openEuler SP3/CirrOS。
2,4.2  终端软件的使用,647,841,139,6874,delete,按用户要求删除独立终端工具教学，仅保留一页选型说明。
2,4.3  实训项目1 原生OpenStack云平台基本环境配置,842,1018,163,6353,rewrite,替换过时来宾系统与产品界面，主用openEuler SP3/CirrOS。
1,第五章 MySQL数据库的安装及其配置,1019,1021,3,201,rewrite,替换过时来宾系统与产品界面，主用openEuler SP3/CirrOS。
2,5.1  MySQL数据库功能简介,1022,1183,160,6446,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,5.2  实训项目2 MySQL数据库的手工安装与配置,1184,1254,62,2238,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,5.3  MySQL数据库安装脚本及其解读,1255,1329,74,2757,delete,第二篇统一改为逐条手工命令与配置，不再把脚本解读作为安装方法。
1,第六章 Keystone的安装及其配置,1330,1332,3,203,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,6.1  Keystone功能详解,1333,1351,18,2312,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,6.2  实训项目3 Keystone的手工安装与配置,1352,1490,130,6360,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,6.3  Keystone安装脚本及其解读,1491,1569,75,3811,delete,第二篇统一改为逐条手工命令与配置，不再把脚本解读作为安装方法。
1,第七章 Glance的安装及其配置,1570,1572,3,191,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,7.1  Glance功能简介,1573,1603,29,1315,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,7.2  实训项目4 Glance的手工安装与配置,1604,1811,193,11059,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,7.3  Glance安装脚本及其解读,1812,1883,72,4603,delete,第二篇统一改为逐条手工命令与配置，不再把脚本解读作为安装方法。
1,第八章 Placement的安装及其配置,1884,1886,3,222,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,8.1  Placement功能简介,1887,1899,13,1637,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,8.2  实训项目5 Placement的手工安装与配置,1900,2015,110,5733,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,8.3  Placement安装脚本及其解读,2016,2082,66,3400,delete,第二篇统一改为逐条手工命令与配置，不再把脚本解读作为安装方法。
1,第九章 Nova的安装及其配置,2083,2085,3,180,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,9.1  Nova功能简介,2086,2178,87,5965,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,9.2  实训项目6 Nova的手工安装与配置,2179,2425,235,14487,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,9.3  Nova安装脚本及其解读,2426,2571,144,8383,delete,第二篇统一改为逐条手工命令与配置，不再把脚本解读作为安装方法。
1,第十章 Neutron的安装及其配置,2572,2574,3,253,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,10.1  Neutron功能简介,2575,2623,44,4119,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,10.2  实训项目7 Neutron的手工安装与外部环境配置,2624,2812,183,8954,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,10.3  实训项目8 Neutron的主要服务组件配置与网络创建,2813,3079,261,15553,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,10.4  Neutron安装脚本及其解读,3080,3319,234,13901,delete,第二篇统一改为逐条手工命令与配置，不再把脚本解读作为安装方法。
1,第十一章 Cinder的安装及其配置,3320,3322,3,241,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,11.1  Cinder功能简介,3323,3371,45,3794,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,11.2  实训项目9 Cinder的手工安装与配置,3372,3549,169,9737,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,11.3  Cinder安装脚本及其解读,3550,3657,106,6197,delete,第二篇统一改为逐条手工命令与配置，不再把脚本解读作为安装方法。
1,第十二章 Dashboard的安装及其配置,3658,3660,3,171,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,12.1  Dashboard功能简介,3661,3664,4,283,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,12.2  实训项目10 Dashboard的安装与配置,3665,3750,73,2528,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,12.3  启动虚拟机实例及其排错案例,3751,3844,86,3640,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
1,第十三章 原生OpenStack云平台各组件运维,3845,3847,3,99,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,13.1  实训项目11 Keystone基本运维命令及其应用,3848,4089,190,11282,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,13.2  实训项目12 Glance基本运维命令及其应用,4090,4199,91,7410,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,13.3  实训项目13 Nova基本运维命令及其应用,4200,4554,284,19016,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,13.4  实训项目14 Neutron基本运维命令及其应用,4555,4887,269,13902,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
1,第十四章 虚拟机镜像文件的制作,4888,4888,1,15,retain-and-update,保留知识主线并按第三版事实和实训环境更新。
2,14.1  实训项目16 准备虚拟机镜像环境,4889,4929,38,2098,rewrite,替换过时来宾系统与产品界面，主用openEuler SP3/CirrOS。
2,14.2  实训项目17 云平台qcow2格式Windows镜像制作,4930,5017,68,3824,rewrite,替换过时来宾系统与产品界面，主用openEuler SP3/CirrOS。
2,14.3  实训项目18 云平台qcow2格式Windows镜像图形化制作,5018,5127,79,3658,rewrite,替换过时来宾系统与产品界面，主用openEuler SP3/CirrOS。
2,14.4  实训项目19 云平台qcow2格式Ubuntu镜像制作,5128,5201,66,2728,rewrite,替换过时来宾系统与产品界面，主用openEuler SP3/CirrOS。
