figure_no,chapter,caption,type,source_url,access_date,local_path,status
图1.1,1,从大型机到智算云的计算模式演进,redraw,,2026-07-31,第三版教材图片/图1.1.png,planned
图3.1,3,OpenStack双节点逻辑架构与API调用链,redraw,https://docs.openstack.org/2026.1/,2026-08-12,第三版教材图片/图3.1.png,planned
图4.1,4,双节点网络与存储拓扑,redraw,https://www.openeuler.org/en/download/,2026-08-12,第三版教材图片/图4.1.png,planned
图5.1,5,OpenStack Antelope 双节点手工构建顺序（建议自绘流程图）,redraw,,2026-08-12,第三版教材图片/图5.1.png,draft-redraw
图6.1,6,Keystone认证、令牌与服务目录流程（建议自绘）,redraw,,2026-08-12,第三版教材图片/图6.1.png,draft-redraw
图12.1,12,智能体与大语言模型、聊天助手和工作流的关系,redraw,,2026-07-31,第三版教材图片/图12.1.png,planned
图12.2,12,云平台智能体“计划—执行—观察—修正”闭环,official-screenshot,https://www.trae.cn/,2026-08-12,第三版教材图片/图12.2.png,pending-capture
图12.3,12,TRAE 国内版官方网站与下载入口,real-screenshot,https://www.trae.cn/,2026-08-12,第三版教材图片/图12.3.png,pending-capture
图12.4,12,DeepSeek 开放平台与 API 文档入口,real-screenshot,https://www.trae.cn/,2026-08-12,第三版教材图片/图12.4.png,pending-capture
图12.5,12,Claude Code 官方文档中的终端工作界面,real-screenshot,https://www.trae.cn/,2026-08-12,第三版教材图片/图12.5.png,pending-capture
图12.6,12,OpenAI Codex 官方应用界面,real-screenshot,https://api-docs.deepseek.com/,2026-08-12,第三版教材图片/图12.6.png,pending-capture
图12.7,12,OpenClaw 官方项目首页与体系结构,real-screenshot,https://api-docs.deepseek.com/,2026-08-12,第三版教材图片/图12.7.png,pending-capture
图12.8,12,Hermes Agent 官方项目页或桌面界面,official-screenshot,https://docs.anthropic.com/en/docs/claude-code,2026-08-12,第三版教材图片/图12.8.png,pending-capture
图12.9,12,TRAE 安装包下载与版本信息,official-screenshot,https://openai.com/codex/,2026-08-12,第三版教材图片/图12.9.png,pending-capture
图12.10,12,TRAE 安装向导,official-screenshot,,2026-08-12,第三版教材图片/图12.10.png,pending-source
图12.11,12,TRAE 首次启动与登录界面,official-screenshot,,2026-08-12,第三版教材图片/图12.11.png,pending-source
图12.12,12,TRAE 中打开 openstack-ts 工作区,real-screenshot,,2026-08-12,第三版教材图片/图12.12.png,placeholder-needs-capture
图12.13,12,DeepSeek API 密钥创建入口,real-screenshot,,2026-08-12,第三版教材图片/图12.13.png,placeholder-needs-capture
图12.14,12,TRAE 自定义模型与 DeepSeek 参数,real-screenshot,,2026-08-12,第三版教材图片/图12.14.png,placeholder-needs-capture
图12.15,12,DeepSeek 模型连通性测试结果,real-screenshot,,2026-08-12,第三版教材图片/图12.15.png,placeholder-needs-capture
图12.16,12,OpenStack 专用智能体的角色和工具设置,real-screenshot,,2026-08-12,第三版教材图片/图12.16.png,placeholder-needs-capture
图13.1,13,智能体读取项目并生成部署前事实清单,redraw,,2026-07-31,第三版教材图片/图13.1.png,planned
图13.2,13,智能体标记磁盘风险与人工确认点,real-screenshot,,2026-08-12,第三版教材图片/图13.2.png,pending-capture
图13.3,13,17阶段双节点部署时序图,real-screenshot,,2026-08-12,第三版教材图片/图13.3.png,pending-capture
图13.4,13,TRAE 中的一次性部署任务与批准后的计划,real-screenshot,,2026-08-12,第三版教材图片/图13.4.png,pending-capture
